date_time,is_holiday,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,traffic_volume,air_pollution_index
2012-10-02 9:00:00,None,89,2,329,1,1,288.28,0,0,40,Clouds,5545,121
2012-10-02 10:00:00,None,67,3,330,1,1,289.36,0,0,75,Clouds,4516,178
2012-10-02 11:00:00,None,66,3,329,2,2,289.58,0,0,90,Clouds,4767,113
2012-10-02 12:00:00,None,66,3,329,5,5,290.13,0,0,90,Clouds,5026,20
2012-10-02 13:00:00,None,65,3,329,7,7,291.14,0,0,75,Clouds,4918,281
2012-10-02 14:00:00,None,65,3,328,6,6,291.72,0,0,1,Clear,5181,23
2012-10-02 15:00:00,None,64,3,328,7,7,293.17,0,0,1,Clear,5584,184
2012-10-02 16:00:00,None,64,3,327,7,7,293.86,0,0,1,Clear,6015,167
2012-10-02 17:00:00,None,63,3,327,6,6,294.14,0,0,20,Clouds,5791,119
2012-10-02 18:00:00,None,63,3,326,3,3,293.1,0,0,20,Clouds,4770,161
2012-10-02 19:00:00,None,62,3,326,8,8,290.97,0,0,20,Clouds,3539,243
2012-10-02 20:00:00,None,62,3,326,5,5,289.38,0,0,1,Clear,2784,150
2012-10-02 21:00:00,None,61,4,325,4,4,288.61,0,0,1,Clear,2361,128
2012-10-02 22:00:00,None,61,4,325,7,7,287.16,0,0,1,Clear,1529,18
2012-10-02 23:00:00,None,60,4,324,5,5,285.45,0,0,1,Clear,963,186
2012-10-03 0:00:00,None,60,4,324,2,2,284.63,0,0,1,Clear,506,58
2012-10-03 1:00:00,None,59,4,324,6,6,283.47,0,0,1,Clear,321,158
2012-10-03 2:00:00,None,59,4,323,1,1,281.18,0,0,1,Clear,273,166
2012-10-03 3:00:00,None,58,4,323,7,7,281.09,0,0,1,Clear,367,101
2012-10-03 4:00:00,None,58,4,322,4,4,279.53,0,0,1,Clear,814,161
2012-10-03 5:00:00,None,57,4,322,3,3,278.62,0,0,1,Clear,2718,179
2012-10-03 6:00:00,None,57,4,322,4,4,278.23,0,0,1,Clear,5673,93
2012-10-03 8:00:00,None,56,4,321,4,4,278.12,0,0,1,Clear,6511,57
2012-10-03 9:00:00,None,56,4,321,4,4,282.48,0,0,1,Clear,5471,226
2012-10-03 12:00:00,None,55,4,320,3,3,291.97,0,0,1,Clear,5097,86
2012-10-03 13:00:00,None,55,4,320,1,1,293.23,0,0,1,Clear,4887,52
2012-10-03 14:00:00,None,55,4,320,4,4,294.31,0,0,1,Clear,5337,273
